('Episode: 257', 'Reward: 480.0', 'Loss: 7.03809261322', 'Explore P: 0.1000')
('Episode: 258', 'Reward: 1600.0', 'Loss: 7.21491956711', 'Explore P: 0.1000')
('Episode: 259', 'Reward: 300.0', 'Loss: 4.87806892395', 'Explore P: 0.1000')
('Episode: 260', 'Reward: 460.0', 'Loss: 2.71233177185', 'Explore P: 0.1000')
('Episode: 261', 'Reward: 1490.0', 'Loss: 5.18538570404', 'Explore P: 0.1000')
('Episode: 262', 'Reward: 910.0', 'Loss: 5.95698738098', 'Explore P: 0.1000')
('Episode: 263', 'Reward: 540.0', 'Loss: 2.37051510811', 'Explore P: 0.1000')
('Episode: 264', 'Reward: 540.0', 'Loss: 4.41758966446', 'Explore P: 0.1000')
('Episode: 265', 'Reward: 260.0', 'Loss: 5.72606611252', 'Explore P: 0.1000')
('Episode: 266', 'Reward: 1390.0', 'Loss: 7.38738298416', 'Explore P: 0.1000')
('Episode: 267', 'Reward: 380.0', 'Loss: 4.84159898758', 'Explore P: 0.1000')
('Episode: 268', 'Reward: 380.0', 'Loss: 5.57502555847', 'Explore P: 0.1000')
('Episode: 269', 'Reward: 910.0', 'Loss: 4.31808853149', 'Explore P: 0.1000')
('Episode: 270', 'Reward: 660.0', 'Loss: 3.94547128677', 'Explore P: 0.1000')
('Episode: 271', 'Reward: 540.0', 'Loss: 4.40137004852', 'Explore P: 0.1000')
('Episode: 272', 'Reward: 1020.0', 'Loss: 1.75855231285', 'Explore P: 0.1000')
('Episode: 273', 'Reward: 1260.0', 'Loss: 6.8892326355', 'Explore P: 0.1000')
