('Episode: 171', 'Reward: 200.0', 'Loss: 24.1179046631', 'Explore P: 0.1000')
('Episode: 172', 'Reward: 3020.0', 'Loss: 69.5867843628', 'Explore P: 0.1000')
('Episode: 173', 'Reward: 2240.0', 'Loss: 19.793762207', 'Explore P: 0.1000')
('Episode: 174', 'Reward: 3220.0', 'Loss: 21.0965309143', 'Explore P: 0.1000')
('Episode: 175', 'Reward: 2440.0', 'Loss: 49.7858047485', 'Explore P: 0.1000')
('Episode: 176', 'Reward: 2180.0', 'Loss: 53.3231201172', 'Explore P: 0.1000')
('Episode: 177', 'Reward: 3420.0', 'Loss: 50.8663749695', 'Explore P: 0.1000')
('Episode: 178', 'Reward: 4370.0', 'Loss: 31.4772911072', 'Explore P: 0.1000')
('Episode: 179', 'Reward: 3550.0', 'Loss: 34.6145248413', 'Explore P: 0.1000')
('Episode: 180', 'Reward: 320.0', 'Loss: 22.5047168732', 'Explore P: 0.1000')
('Episode: 181', 'Reward: 320.0', 'Loss: 23.7529735565', 'Explore P: 0.1000')
('Episode: 182', 'Reward: 2510.0', 'Loss: 52.6249198914', 'Explore P: 0.1000')
('Episode: 183', 'Reward: 2240.0', 'Loss: 32.8891143799', 'Explore P: 0.1000')
('Episode: 184', 'Reward: 1030.0', 'Loss: 23.0286636353', 'Explore P: 0.1000')
('Episode: 185', 'Reward: 1740.0', 'Loss: 19.1535339355', 'Explore P: 0.1000')
('Episode: 186', 'Reward: 2510.0', 'Loss: 64.7276763916', 'Explore P: 0.1000')
('Episode: 187', 'Reward: 2660.0', 'Loss: 23.3166275024', 'Explore P: 0.1000')
('Episode: 188', 'Reward: 2050.0', 'Loss: 25.7064990997', 'Explore P: 0.1000')
('Episode: 189', 'Reward: 260.0', 'Loss: 16.1167907715', 'Explore P: 0.1000')
('Episode: 190', 'Reward: 1550.0', 'Loss: 35.2162628174', 'Explore P: 0.1000')
('Episode: 191', 'Reward: 2300.0', 'Loss: 37.0156097412', 'Explore P: 0.1000')
('Episode: 192', 'Reward: 5210.0', 'Loss: 26.9820747375', 'Explore P: 0.1000')
('Episode: 193', 'Reward: 2210.0', 'Loss: 26.9619083405', 'Explore P: 0.1000')
('Episode: 194', 'Reward: 2110.0', 'Loss: 95.112197876', 'Explore P: 0.1000')
('Episode: 195', 'Reward: 1030.0', 'Loss: 39.4880599976', 'Explore P: 0.1000')
('Episode: 196', 'Reward: 400.0', 'Loss: 28.3419799805', 'Explore P: 0.1000')
('Episode: 197', 'Reward: 2590.0', 'Loss: 28.380607605', 'Explore P: 0.1000')
('Episode: 198', 'Reward: 2740.0', 'Loss: 46.8293075562', 'Explore P: 0.1000')
('Episode: 199', 'Reward: 400.0', 'Loss: 35.9054527283', 'Explore P: 0.1000')
('Episode: 200', 'Reward: 480.0', 'Loss: 54.4923095703', 'Explore P: 0.1000')
Model Saved
('Episode: 201', 'Reward: 1950.0', 'Loss: 66.4166030884', 'Explore P: 0.1000')
('Episode: 202', 'Reward: 3820.0', 'Loss: 63.0772209167', 'Explore P: 0.1000')
('Episode: 203', 'Reward: 920.0', 'Loss: 62.8197097778', 'Explore P: 0.1000')
('Episode: 204', 'Reward: 660.0', 'Loss: 43.4581985474', 'Explore P: 0.1000')
('Episode: 205', 'Reward: 2130.0', 'Loss: 61.9137306213', 'Explore P: 0.1000')
('Episode: 206', 'Reward: 360.0', 'Loss: 44.8430099487', 'Explore P: 0.1000')
('Episode: 207', 'Reward: 720.0', 'Loss: 75.5823669434', 'Explore P: 0.1000')
('Episode: 208', 'Reward: 1750.0', 'Loss: 34.9652938843', 'Explore P: 0.1000')
('Episode: 209', 'Reward: 760.0', 'Loss: 85.7480773926', 'Explore P: 0.1000')
('Episode: 210', 'Reward: 3520.0', 'Loss: 44.9189071655', 'Explore P: 0.1000')
('Episode: 211', 'Reward: 400.0', 'Loss: 61.8018379211', 'Explore P: 0.1000')
('Episode: 212', 'Reward: 1990.0', 'Loss: 42.6188049316', 'Explore P: 0.1000')
